id, type_id, place_id, 'val', sequence
-1,-1,-1,"England, Wales, Isle of Man and Channel Islands",1
-2,-1,-2,"England, Wales, Isle of Man and Channel Islands",1
-3,-1,-3,"England, Wales, Isle of Man and Channel Islands",1
-4,-1,-4,"England, Wales, Isle of Man and Channel Islands",1
-5,-1,-5,"England, Wales, Isle of Man and Channel Islands",1
-6,-1,-6,"England, Wales, Isle of Man and Channel Islands",1
-7,-1,-7,"England, Wales, Isle of Man and Channel Islands",1
-8,-1,-8,"England, Wales, Isle of Man and Channel Islands",1
-9,-1,-9,"England, Wales, Isle of Man and Channel Islands",1
