ID, Start Date, Range, Relative ID, Type Flags, Description, Recorded Scheme, Display Scheme, UID, Last Changed
-1,2393628,0,0,2,"",8,8,"B512A6041AD65DF97A1B2E1C6451F1145019",2459756
-2,2397213,0,0,2,"",8,8,"CB7B185634BF8FF8BFD5F1F4DD52BC42D4DF",2459756
-3,2400874,0,0,2,"",8,8,"6506DC60EA7A979DE9F5082FC010905B0FF4",2459756
-4,2404521,0,0,2,"",8,8,"FB92C9969F29057761603234DBC44EEB2F89",2459756
-5,2408175,0,0,2,"",8,8,"CA9DD714FD36AF7866CE242F46B16E9D350E",2459756
-6,2411829,0,0,2,"",8,8,"AB5C60A81DD5EB171CD1178862DEACD65175",2459756
-7,2415476,0,0,2,"",8,8,"E1E7B2AD35AE669FC65C74DBFBA215EA1C40",2459756
-8,2419130,0,0,2,"",8,8,"81C288D3E9605EC7682E31790989162F236B",2459756
-9,2422804,0,0,2,"",8,8,"F03974327C21C1272F117A3BFD020A136570",2459756
